scene,prune_ratio,psnr,ssim,lpips,delta_psnr,delta_ssim,delta_lpips
bike,0.0,10.966161727905273,0.4769621193408966,0.8520277738571167,0.0,0.0,0.0
bike,0.3,10.966089248657227,0.4769572615623474,0.8520382642745972,-7.2479248046875e-05,-4.857778549194336e-06,1.049041748046875e-05
bike,0.5,10.966063499450684,0.47696584463119507,0.8519958257675171,-9.822845458984375e-05,3.725290298461914e-06,-3.1948089599609375e-05
buu,0.0,8.18790340423584,0.2561766505241394,0.8989095687866211,0.0,0.0,0.0
buu,0.3,8.187904357910156,0.2561766505241394,0.8989094495773315,9.5367431640625e-07,0.0,-1.1920928955078125e-07
buu,0.5,8.187904357910156,0.2561766505241394,0.8989094495773315,9.5367431640625e-07,0.0,-1.1920928955078125e-07
chair,0.0,11.358920097351074,0.6406107544898987,0.7748264670372009,0.0,0.0,0.0
chair,0.3,11.358920097351074,0.6406107544898987,0.7748262882232666,0.0,0.0,-1.7881393432617188e-07
chair,0.5,11.358916282653809,0.6406087279319763,0.7748311161994934,-3.814697265625e-06,-2.0265579223632812e-06,4.649162292480469e-06
sofa,0.0,8.803825378417969,0.3621005117893219,0.9100561141967773,0.0,0.0,0.0
sofa,0.3,8.797966003417969,0.3621525466442108,0.9102141857147217,-0.005859375,5.2034854888916016e-05,0.00015807151794433594
sofa,0.5,8.795960426330566,0.36216166615486145,0.9101061820983887,-0.007864952087402344,6.115436553955078e-05,5.0067901611328125e-05
