scene,threshold,group,num_gaussians,sat_boundary_count,sat_boundary_ratio,sat_interior_count,sat_interior_ratio,normal_count,normal_ratio,importance_mean,opacity_mean,scale_mean
bike,245,A,78930,189,0.002394526795895097,145,0.0018370708222475612,78596,0.9957684023818574,0.0,0.279259592294693,0.022347187623381615
bike,245,B,52621,144,0.0027365500465593583,82,0.0015583132209574125,52395,0.9957051367324832,0.0,0.25069400668144226,0.02226688154041767
bike,245,C,131552,3679,0.027966127462904403,3543,0.026932315738263195,124330,0.9451015567988325,39.25430205696555,0.276569128036499,0.02284332923591137
bike,250,A,78930,188,0.002381857341948562,130,0.0016470290130495375,78612,0.9959711136450019,0.0,0.279259592294693,0.022347187623381615
bike,250,B,52621,113,0.0021474316337583856,78,0.0014822979418863192,52430,0.9963702704243553,0.0,0.25069400668144226,0.02226688154041767
bike,250,C,131552,3703,0.028148564826076382,2865,0.021778460228654827,124984,0.9500729749452688,39.25430205696555,0.276569128036499,0.02284332923591137
bike,252,A,78930,198,0.002508551881413911,118,0.0014949955656911188,78614,0.9959964525528949,0.0,0.279259592294693,0.022347187623381615
bike,252,B,52621,119,0.0022614545523650252,70,0.0013302673837441326,52432,0.9964082780638909,0.0,0.25069400668144226,0.02226688154041767
bike,252,C,131552,3758,0.028566650450012162,2526,0.019201532473850643,125268,0.9522318170761372,39.25430205696555,0.276569128036499,0.02284332923591137
buu,245,A,27590,54,0.0019572308807538964,580,0.021022109459949256,26956,0.9770206596592969,0.0,0.34568655490875244,0.0175359807908535
buu,245,B,18394,47,0.00255518103729477,217,0.011797325214743939,18130,0.9856474937479613,0.0,0.268192857503891,0.018899179995059967
buu,245,C,45984,868,0.018876130828114127,5016,0.10908141962421712,40100,0.8720424495476687,33.29510583767679,0.25234419107437134,0.02183668687939644
buu,250,A,27590,23,0.0008336353751359189,561,0.02033345415005437,27006,0.9788329104748097,0.0,0.34568655490875244,0.0175359807908535
buu,250,B,18394,5,0.00027182776992497554,209,0.011362400782863977,18180,0.988365771447211,0.0,0.268192857503891,0.018899179995059967
buu,250,C,45984,339,0.0073721294363256785,4816,0.10473208072373,40829,0.8878957898399443,33.29510583767679,0.25234419107437134,0.02183668687939644
buu,252,A,27590,45,0.0016310257339615802,536,0.019427328742297936,27009,0.9789416455237405,0.0,0.34568655490875244,0.0175359807908535
buu,252,B,18394,7,0.00038055887789496573,207,0.011253669674893987,18180,0.988365771447211,0.0,0.268192857503891,0.018899179995059967
buu,252,C,45984,446,0.00969902574808629,4653,0.10118736951983298,40885,0.8891136047320807,33.29510583767679,0.25234419107437134,0.02183668687939644
chair,245,A,32341,1,3.092050338579512e-05,41,0.0012677406388176,32299,0.9987013388577966,0.0,0.3184075653553009,0.02907838486135006
chair,245,B,21561,2,9.276007606326238e-05,28,0.0012986410648856731,21531,0.9986085988590511,0.0,0.23387768864631653,0.031223073601722717
chair,245,C,53903,1038,0.019256813164387883,6190,0.11483590894755394,46675,0.8659072778880582,110.94469111368386,0.22812293469905853,0.036930814385414124
chair,250,A,32341,1,3.092050338579512e-05,34,0.001051297115117034,32306,0.9989177823814972,0.0,0.3184075653553009,0.02907838486135006
chair,250,B,21561,0,0.0,26,0.0012058809888224108,21535,0.9987941190111775,0.0,0.23387768864631653,0.031223073601722717
chair,250,C,53903,757,0.014043745246090198,1656,0.030721852216017663,51490,0.9552344025378922,110.94469111368386,0.22812293469905853,0.036930814385414124
chair,252,A,32341,14,0.0004328870474011317,21,0.0006493305711016976,32306,0.9989177823814972,0.0,0.3184075653553009,0.02907838486135006
chair,252,B,21561,12,0.0005565604563795742,14,0.0006493205324428366,21535,0.9987941190111775,0.0,0.23387768864631653,0.031223073601722717
chair,252,C,53903,630,0.011687661169137154,994,0.018440532066860842,52279,0.969871806764002,110.94469111368386,0.22812293469905853,0.036930814385414124
sofa,245,A,20275,1,4.932182490752158e-05,0,0.0,20274,0.9999506781750925,0.0,0.35075828433036804,0.018599623814225197
sofa,245,B,13517,0,0.0,0,0.0,13517,1.0,0.0,0.3126967251300812,0.022441430017352104
sofa,245,C,33793,580,0.017163317846891367,765,0.02263782440150327,32448,0.9601988577516054,36.37662437397927,0.2812415361404419,0.024984916672110558
sofa,250,A,20275,0,0.0,0,0.0,20275,1.0,0.0,0.35075828433036804,0.018599623814225197
sofa,250,B,13517,0,0.0,0,0.0,13517,1.0,0.0,0.3126967251300812,0.022441430017352104
sofa,250,C,33793,24,0.000710206255733436,1,2.9591927322226496e-05,33768,0.9992602018169443,36.37662437397927,0.2812415361404419,0.024984916672110558
sofa,252,A,20275,0,0.0,0,0.0,20275,1.0,0.0,0.35075828433036804,0.018599623814225197
sofa,252,B,13517,0,0.0,0,0.0,13517,1.0,0.0,0.3126967251300812,0.022441430017352104
sofa,252,C,33793,10,0.000295919273222265,0,0.0,33783,0.9997040807267777,36.37662437397927,0.2812415361404419,0.024984916672110558
