scene,prune_ratio,psnr,ssim,lpips,delta_psnr,delta_ssim,delta_lpips
bike,0.0,20.584558486938477,0.8177914619445801,0.20876087248325348,0.0,0.0,0.0
bike,0.05,20.329605102539062,0.8022035360336304,0.21690422296524048,-0.25495338439941406,-0.015587925910949707,0.008143350481987
bike,0.1,20.01689910888672,0.785251259803772,0.22590361535549164,-0.5676593780517578,-0.032540202140808105,0.01714274287223816
bike,0.15,19.72530746459961,0.7671391367912292,0.2348613739013672,-0.8592510223388672,-0.05065232515335083,0.02610050141811371
bike,0.2,19.04718780517578,0.7353435754776001,0.250652551651001,-1.5373706817626953,-0.08244788646697998,0.0418916791677475
bike,0.25,18.544113159179688,0.7149356603622437,0.26151955127716064,-2.040445327758789,-0.10285580158233643,0.052758678793907166
bike,0.3,17.86431312561035,0.692905843257904,0.2747839689254761,-2.720245361328125,-0.12488561868667603,0.0660230964422226
bike,0.4,15.792539596557617,0.6328415274620056,0.3089990019798279,-4.792018890380859,-0.18494993448257446,0.1002381294965744
bike,0.5,12.795645713806152,0.5834583640098572,0.33855241537094116,-7.788912773132324,-0.2343330979347229,0.12979154288768768
buu,0.0,19.233976364135742,0.8464831709861755,0.2817710340023041,0.0,0.0,0.0
buu,0.05,18.837139129638672,0.8322900533676147,0.3106223940849304,-0.3968372344970703,-0.014193117618560791,0.028851360082626343
buu,0.1,18.654571533203125,0.8206875324249268,0.3303719758987427,-0.5794048309326172,-0.02579563856124878,0.0486009418964386
buu,0.15,18.42131996154785,0.8119874000549316,0.34723788499832153,-0.8126564025878906,-0.034495770931243896,0.06546685099601746
buu,0.2,18.302989959716797,0.8047958612442017,0.3581571578979492,-0.9309864044189453,-0.04168730974197388,0.07638612389564514
buu,0.25,17.907245635986328,0.7881450653076172,0.37980014085769653,-1.326730728149414,-0.05833810567855835,0.09802910685539246
buu,0.3,17.444013595581055,0.7702779173851013,0.4002947509288788,-1.7899627685546875,-0.07620525360107422,0.11852371692657471
buu,0.4,16.056888580322266,0.7205299139022827,0.43045803904533386,-3.1770877838134766,-0.12595325708389282,0.14868700504302979
buu,0.5,14.760810852050781,0.6628096103668213,0.44530925154685974,-4.473165512084961,-0.18367356061935425,0.16353821754455566
chair,0.0,19.509828567504883,0.8253380656242371,0.24441960453987122,0.0,0.0,0.0
chair,0.05,19.34906005859375,0.8148369193077087,0.2574051320552826,-0.1607685089111328,-0.01050114631652832,0.012985527515411377
chair,0.1,19.180723190307617,0.8058801889419556,0.2658610939979553,-0.3291053771972656,-0.019457876682281494,0.021441489458084106
chair,0.15,18.24761390686035,0.7844191789627075,0.2833564281463623,-1.2622146606445312,-0.04091888666152954,0.03893682360649109
chair,0.2,17.681650161743164,0.7638166546821594,0.29514795541763306,-1.8281784057617188,-0.06152141094207764,0.05072835087776184
chair,0.25,17.134506225585938,0.737741231918335,0.31593057513237,-2.3753223419189453,-0.0875968337059021,0.07151097059249878
chair,0.3,16.313091278076172,0.7165612578392029,0.33173608779907227,-3.196737289428711,-0.10877680778503418,0.08731648325920105
chair,0.4,14.6635103225708,0.6589196920394897,0.3669963777065277,-4.846318244934082,-0.16641837358474731,0.1225767731666565
chair,0.5,12.6909818649292,0.584295392036438,0.41252753138542175,-6.818846702575684,-0.24104267358779907,0.16810792684555054
sofa,0.0,19.534772872924805,0.8483778834342957,0.21988189220428467,0.0,0.0,0.0
sofa,0.05,19.161758422851562,0.8235465288162231,0.26809027791023254,-0.3730144500732422,-0.02483135461807251,0.048208385705947876
sofa,0.1,18.392126083374023,0.7939713001251221,0.31406369805336,-1.1426467895507812,-0.054406583309173584,0.09418180584907532
sofa,0.15,17.560699462890625,0.7719403505325317,0.34361594915390015,-1.9740734100341797,-0.07643753290176392,0.12373405694961548
sofa,0.2,17.183494567871094,0.7552070617675781,0.36333125829696655,-2.351278305053711,-0.09317082166671753,0.14344936609268188
sofa,0.25,16.149513244628906,0.7292258143424988,0.38664454221725464,-3.3852596282958984,-0.11915206909179688,0.16676265001296997
sofa,0.3,13.941315650939941,0.6554391384124756,0.45286494493484497,-5.593457221984863,-0.19293874502182007,0.2329830527305603
sofa,0.4,9.348594665527344,0.4859384000301361,0.5384697318077087,-10.186178207397461,-0.36243948340415955,0.3185878396034241
sofa,0.5,8.810661315917969,0.4232463836669922,0.5754610300064087,-10.724111557006836,-0.42513149976730347,0.355579137802124
